text, sentiment
My body knows exactly what he is doing! , 'positive'
I am a great woman! , 'positive'
I achieved much in my life! , 'positive'
I am young lively attractive and I love my life! , 'positive'
I get what I should get! , 'positive'
I am patient and serene! , 'positive'
I love every moment of life! , 'positive'
I enjoy the dancing of life with all my heart! , 'positive'
I am fine as I am! , 'positive'
I am strong! , 'positive'
I am healthy! , 'positive'
I am powerful! , 'positive'
I have trust in my body! , 'positive'
I am listening to my inner voice! , 'positive'
My body won´t abandon me! , 'positive'
My body is strong and doing well! , 'positive'
I feel alive! , 'positive'
I trust on my inner voice! , 'positive'
I have a great partner and great friends! , 'positive'
My life is fine and fullfilled! , 'positive'
All in good time. , 'positive'
I am thankful for all experiences that I make – they are helping my on my way! , 'positive'
I thank my body for being able to trust in him. , 'positive'
I enjoy every day! , 'positive'
I am living here and now! , 'positive'
I am happy! , 'positive'
I am thankful! , 'positive'
I love! , 'positive'
you are so special , 'positive'
I live! , 'positive'
I laugh! , 'positive'
Time will show... , 'positive'
I am fine as I am! , 'positive'
I am living – intensive and self-conscious! , 'positive'
Thanks for being so happy with my husband! , 'positive'
My body knows very well what he is doing – I listen to him! , 'positive'
I am a child of creation – or god! Thats why I am loved. That´s why I have god his creative strength in me. I thank this strenght that is living in me like in anything else. , 'positive'
I love my life! , 'positive'
I love my child-soul! , 'positive'
Life is greast! , 'positive'
Life will win! , 'positive'
Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow., 'positive'
I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! , 'positive'
Good morning Thursday. Life is fragile. We're not guaranteed a tomorrow so give it everything you've got. - Tim Cook [Do it for Jobs!], 'positive'
Lmfao alright u got me there. Good job Parker and the spurs  see y'all jan 9th. If I get an extra ticket to that game ur goin, 'positive'
4th Album out 6 Grammy Awards  10 AMAs  13 BMI Awards! Reigning Entertainer of the Year ACM! , 'positive'
It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!, 'positive'
We are here for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr, 'positive'
If you try your best now, happiness will come to you, 'positive'
Everyone seeks happiness, 'positive'
Be kind be generous be magnanimous - Good Morning! , 'positive'
A love so precious a love so true , 'positive'
You've shown me how to live, 'positive'
Please think about your legacy because you’re writing it every day , 'positive'
It is always the simple that produces the marvelous , 'positive'
The world is full of magical things patiently waiting for our wits to grow sharper , 'positive'
Let us make our future now and let us make our dreams tomorrow’s reality , 'positive'
All you need is the plan the road map and the courage to press on to your destination. , 'positive'
God Bless you all and GOD BLESS AMERICA! , 'positive'
Stock Market hits new Record High Confidence and enthusiasm abound. More great numbers coming out! , 'positive'
Great day for Tax Cuts and the Republican Party But the biggest Winner will be our great Country, 'positive'
Just won the lawsuit on leadership of Consumer Financial Protection Bureau CFPB A big win for the Consumer! , 'positive'
Wow we did so much Thank you. , 'positive'
Today Melania visit Florida to say THANK YOU on behalf of an entire nation. ,'positive'
HAPPY your Country is starting to do really well. Jobs coming back highest Stock Market EVER Military getting really strong we will build the WALL V.A. taking care of our Vets great Supreme Court Justice RECORD CUT IN REGS, 'positive'
I hope everyone is having a great Christmas then tomorrow it’s back to work in order to Make America Great Again (which is happening faster than anyone anticipated)! ,'positive
People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our cherished and beautiful phrase. MERRY CHRISTMAS!!!!! , 'positive'
The U.S. economy is running at its full potential for the first time in a decade , 'positive'
We are one step closer to delivering MASSIVE tax cuts for working families across America , 'positive'
A great day in New Hampshire and Maine. Fantastic crowds and energy! , 'positive'
absolutely adorable accepted acclaimed accomplish accomplishment achievement action active admire adventure affirmative affluent agree agreeable amazing angelic appealing approve , 'positive'
aptitude attractive awesome beaming beautiful believe beneficial bliss bountiful bounty brave bravo brilliant bubbly calm celebrated certain champ champion charming cheery choice , 'positive'
classic classical clean commend composed congratulation constant cool courageous creative cute dazzling delight delightful earnest easy ecstatic effective effervescent efficient , 'positive'
effortless electrifying elegant enchanting encouraging endorsed energetic energized engaging enthusiastic essential esteemed ethical excellent exciting exquisite , 'positive'
fabulous fair familiar famous fantastic favorable fetching fine fitting flourishing fortunate free fresh friendly fun funny generous genius genuine giving glamorous glowing good , 'positive'
gorgeous graceful great green grin growing handsome happy harmonious healing healthy hearty heavenly honest honorable honored hug idea ideal imaginative imagine impressive independent , 'positive'
innovate innovative instant instantaneous instinctive intuitive intellectual intelligent inventive jovial joy jubilant keen kind knowing knowledgeable laugh legendary light learned , 'positive'
lively lovely lucid lucky luminous marvelous masterful meaningful merit meritorious miraculous motivating moving natural , 'positive'
nice novel now nurturing nutritious paradise perfect phenomenal pleasurable plentiful pleasant poised polished popular positive powerful prepared pretty principled productive progress , 'positive'
prominent protected proud quality quick quiet ready reassuring refined refreshing rejoice reliable remarkable resounding respected restored reward rewarding right robust safe satisfactory , 'positive'
secure seemly simple skilled skillful smile soulful sparkling special spirited spiritual stirring stupendous stunning success successful sunny super superb supporting surprising trusting , 'positive'
truthful up upbeat upright upstanding valued vibrant victorious victory vigorous virtuous vital vivacious wealthy welcome well whole wholesome , 'positive'
willing wonderful wondrous worthy wow yes yummy zeal , 'positive'
