text, sentiment
Theo Walcott is still shit watch Rafa and Johnny deal with him on Saturday. , 'negative'
its not that I'm a GSP fan i just hate Nick Diaz. can't wait for february. , 'negative'
Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking that and we may end up finding out) , 'negative'
AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball  just turn your back on him. , 'negative'
Why is it so hard to find the these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow. , 'negative'
Jenelle lies 1st she said she was alone &amp;the hosp.now she's saying how weird it was for Keiffer's , 'negative'
LMFAO his big ass get on my nerves  you going to class tomorrow? , 'negative'
My teachers call themselves givng us candy wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/ , 'negative'
that sucks  amazon might have some left .. hate that i won't have it until 11am on Tuesday though , 'negative'
Noel Gallagher: Musicians are fucking idiots. - Yeah  Brian May - he's an idiot... an idiot who just so happens to be a professor? , 'negative'
Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot , 'negative'
Honesty is often best policy: Fabio Capello  Russia coach: I was hoping Ronaldo's injury was more serious so he couldn't play tomorrow. , 'negative'
This is Austin Rivers 1st game and people sucking him he a rookie chill ! , 'negative'
those who killed Sadat are the reasons why Egyptians struggled in the past  and may face uncertain future .. , 'negative'
Is it evil to laugh when a 3rd grader reads a short story  and at least five times  mistakes the name Becky for Blocky  , 'negative'
That's blaming Rafa for the season we finished 7th while ignoring the negative impact of Cecil and H&amp;G! , 'negative'
Visit to #Iran by five Euro MPs was called off Sat after Tehran refused to let them meet with a jailed activist , 'negative'
Niggas was really on some 10th grade shit tonight , 'negative'
You won't be getting candy till monday. I am (by my own stupidity) a sick person right meow. , 'negative'
I'm not gon believe that Victor Cruz is the real deal until he lines up outside  no slot  and doesn't disappear he did Sunday , 'negative'
Should'nt have watched The Grey last night because walking down a dark driveway when the  sun decides to play hookie is not a good time. , 'negative'
niggas boutta be DROPPING like flies down georgetown tomorrow   you won't catch me there ! , 'negative'
Hackers have already defeated windows 8  and ReadWrite Mobile ranked it 5th in interface design  behind iOS and Android. , 'negative'
Aboud el Zomour  the guy who killed Sadat  is now attending the October 6 celebrations at Cairo stadium."" Shame!!!! , 'negative'
Cupid did so much work da 1st time that he don't wanna be my friend no more , 'negative'
I will not be able to handle Harry's voice in Kiss You..and I may not survive after hearing all the songs on Take Me Home in their entirety. , 'negative'
Seriously all of you people are dumb saying that all of the schools in CNY are going to be closed tomorrow... , 'negative'
Just noticed you using the Spanish abbreviation ""NO sure""  no? Think you're missing Rafa  mon brave , 'negative'
Have to say I think Jason &amp; Taylor may have been robbed by the married duo tonight of Blake &amp; Miranda... , 'negative'
If you are a family member  friend  or fan of Austin Rivers you may want to unfollow me. This is about to get ugly. , 'negative'
i always cry wen i listen to Avril singing Tomorrow in Dublin i just remember everything bad happened to me :/ , 'negative'
Sandy  if you have ruined my chances to see Bruno mars on Monday I will go buck wild. , 'negative'
wait if the power is out tomorrow then i'm going to miss a new how i met your mother  NOOOOOOOOO , 'negative'
y'all tryna fuck with Chapel Hill tomorrow night??? , 'negative'
I'm gonna hit the victor cruz if my classes get cancelled tomorrow , 'negative'
I noticed all the Huddlestone haters were conspicuous by their absence yesterday  particularly when he assisted Bale for the 1st goal , 'negative'
The Boys: Calvin Watkins explains why Sunday night games are bad luck for the Cowboys , 'negative'
Unless you got a throw back Thursday picture with Michael Jackson I don't give a fuck about your faggot ass picture , 'negative'
Bale doesnt celebrate his goal but races over cuddling Dempsey on the 2nd. Illustrates perfectly the bullshitting spotlight whores they are. , 'negative'
Born in February close to Valentines. Through all the heart pains I still look for Love guess Imma always b crazy , 'negative'
Man  I'm sorry for the death of MR.MITCH LUCKER. May he rest in PEACE. , 'negative'
Are you coming to nz tonight or tomorrow morning?? Waaa im so confused ): , 'negative'
I spoke too soon. Flight just cancelled. Looks like I'm stranded in Calgary. I'll try again tomorrow am! Eek  I hope I make it #IYCsask. , 'negative'
Caltrain just can't catch a break. MT @Caltrain_News About 10:30 a.m. train #425 struck a female on the train tracks south of 16th Street , 'negative'
Zaheer Khan was injured on the 1st test  day 1 of Eng's tour. Steve Finn is now injured(thigh injury) on the day 1 of 1st tour game. Hmmm. , 'negative'
Im going to be the Black Dahlia tomorrow and no ones going to get it because everyone is stupid. , 'negative'
I may do a 30-mile bike ride for the Giants on weds cause you know Caltrain is going to suck more than the Cardinals. , 'negative'
Careless World tour hit up 8 places in Cali. Haha the fuck  yoo. , 'negative'
Horrible dream lady night. I'm tiered but today is my Friday and its the start of the RODEO tonight, 'negative'
i have to drive with Ms. Pope Saturday. kill me now. , 'negative'
Depending on your sensibilities  Unofficially Yours may seem progressive or derivative. Too bad the leads can't supply the heat it needed. , 'negative'
the fact that so many will vote for a socialist fake liar for President is very very frightening and may bring America to ruin! , 'negative'
Holy drunk! Wine  Johnny walker and beer are not a great combo esp on a Thursday night to many emotions too much sadness  calling it a night , 'negative'
Kinda just want to stay home and cry all day tomorrow. , 'negative'
The biggest mistake Lucas Scott ever made wasn't almost marrying Lindsay or moving in with Dan  it was shaving his head in the 2nd season. , 'negative'
he may be a cheap shot scumbag  bit I fuck with Todd Bertuzzi , 'negative'
Alan Pardew apparently compared Colocinni to Bobby Moore. I may fucking shoot the prick for that Blasphemy.. , 'negative'
Martin stupid 1st notice  2nd notice  a don't let me catch your ass in the street notice , 'negative'
What is the point of our existence if it leads to violence and utter misery, 'negative'
It is better not to have money if it brings so much misery and pain., 'negative'
A broken heart bleeds tears, 'negative'
He has pled guilty to those lies It is a shame , 'negative'
The jury was not told the killer of Kate was a 7 time felon The Schumer/Pelosi Democrats are so weak on Crime that they will pay a big price  , 'negative'
The vast majority felt she should be prosecuted..." -- even senior FBI officials thought Crooked was guilty , 'negative'
Their idealism has been corrupt by cynicism. , 'negative'
I lost large numbers of women voters , 'negative'
abysmal adverse alarming angry annoy anxious apathy appalling atrocious awful , 'negative'
bad banal barbed belligerent bemoan beneath boring broken , 'negative'
callous can't clumsy coarse cold cold-hearted collapse confused contradictory contrary corrosive corrupt crazy creepy , 'negative'
criminal cruel cry cutting dead decaying damage damaging dastardly deplorable depressed deprived deformed , 'negative'
deny despicable detrimental dirty disease disgusting disheveled dishonest dishonorable dismal distress don't dreadful dreary , 'negative'
enraged eroding evil fail faulty fear feeble fight filthy foul frighten frightful , 'negative'
gawky ghastly grave greed grim grimace gross grotesque gruesome guilty , 'negative'
haggard hard hard-hearted harmful hate hideous homely horrendous horrible hostile hurt hurtful , 'negative'
icky ignore ignorant ill immature imperfect impossible inane inelegant infernal injure injurious insane insidious insipid , 'negative'
jealous junky lose lousy lumpy , 'negative'
malicious mean menacing messy misshapen missing misunderstood moan moldy monstrous , 'negative'
naive nasty naughty negate negative never no nobody nondescript nonsense not noxious , 'negative'
objectionable odious offensive old oppressive pain perturb pessimistic petty poisonous poor prejudice , 'negative'
questionable quirky quit reject renege repellant reptilian repulsive repugnant revenge revolting rocky rotten rude ruthless , 'negative'
sad savage scare scary scream severe shoddy shocking sick sickening sinister slimy smelly sobbing sorry spiteful sticky  , 'negative'
stinky stormy stressful stuck stupid substandard suspect suspicious tense terrible terrifying threatening ugly undermine  , 'negative'
unfair unfavorable unhappy unhealthy unjust unlucky unpleasant upset unsatisfactory unsightly untoward unwanted unwelcome  , 'negative'
unwholesome unwieldy unwise upset wary weary wicked woeful worthless wound yell yucky zero , 'negative'
She fell to her knees retching , 'negative'
I almost had a heart attack , 'negative'
I broke all the rules , 'negative'
her voice broke with emotion , 'negative'
If you flunk this exam you'll have to repeat the course , 'negative'
The cause of the fire is not known. , 'negative'
